IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,299,299,32,3,3,3,2,2,0,0,relu,0.05941920019686222,0.051034131273627284,0.059454400837421414,0.05676213428378105
32,149,149,32,32,3,3,1,1,0,0,relu,0.10424373522400857,0.11060799956321717,0.14704373329877854,0.15581653118133545
32,147,147,64,32,3,3,1,1,1,1,relu,0.18693013340234757,0.19478560090065003,0.23313066512346267,0.20511573404073716
64,73,73,80,64,1,1,1,1,0,0,relu,0.05557280108332634,0.052936000004410746,0.06747840195894242,0.06438719928264618
80,73,73,192,80,3,3,1,1,0,0,relu,0.17051893174648286,0.1894671991467476,0.21148639768362046,0.1899466723203659
192,35,35,64,192,1,1,1,1,0,0,relu,0.04416266642510891,0.04214079901576042,0.051399465277791025,0.05050186589360237
192,35,35,48,192,1,1,1,1,0,0,relu,0.04360639937222004,0.04115786664187908,0.04747786708176136,0.05097600072622299
48,35,35,64,48,5,5,1,1,2,2,relu,0.08128959462046623,0.08168213292956353,0.10618559718132019,0.10203946456313133
64,35,35,96,64,3,3,1,1,1,1,relu,0.06824213340878486,0.07307307049632072,0.0882613331079483,0.08454559668898583
96,35,35,96,96,3,3,1,1,1,1,relu,0.07284640148282051,0.08274239748716354,0.09223466739058495,0.08775307014584541
192,35,35,32,192,1,1,1,1,0,0,relu,0.03864693380892277,0.03875360041856766,0.04289013259112835,0.043610133603215216
256,35,35,64,256,1,1,1,1,0,0,relu,0.04596319943666458,0.04377173408865929,0.05463306531310082,0.05275680087506771
256,35,35,48,256,1,1,1,1,0,0,relu,0.04537813439965248,0.04374826662242413,0.04851306863129139,0.05289600007236004
288,35,35,64,288,1,1,1,1,0,0,relu,0.046184001863002776,0.04452800266444683,0.05647786818444729,0.0574896015226841
288,35,35,48,288,1,1,1,1,0,0,relu,0.04451093375682831,0.04449920020997524,0.05169439874589443,0.05197600014507771
288,35,35,384,288,3,3,2,2,0,0,relu,0.1372186616063118,0.13355093598365783,0.14026932865381242,0.13654719889163972
96,35,35,96,96,3,3,2,2,0,0,relu,0.08437439873814583,0.08041333258152009,0.08984906822443009,0.08615093007683754
768,17,17,192,768,1,1,1,1,0,0,relu,0.06305493153631687,0.06254133135080338,0.08913120105862618,0.06460213288664818
768,17,17,128,768,1,1,1,1,0,0,relu,0.0597408015280962,0.05841866657137871,0.07198666781187057,0.06532159820199013
128,17,17,128,128,1,7,1,1,0,3,relu,0.06519573479890824,0.06569013074040413,0.07556053549051285,0.07549440115690231
128,17,17,192,128,7,1,1,1,3,0,relu,0.06882080286741257,0.06841226816177368,0.09472853690385818,0.09332426637411118
128,17,17,128,128,7,1,1,1,3,0,relu,0.06542186662554741,0.06455573216080665,0.07232960313558578,0.07255840376019478
128,17,17,192,128,1,7,1,1,0,3,relu,0.0700069323182106,0.06908480003476143,0.08840480148792267,0.08815946877002716
768,17,17,160,768,1,1,1,1,0,0,relu,0.06275679767131806,0.062160531803965566,0.087046929448843,0.06581920012831688
160,17,17,160,160,1,7,1,1,0,3,relu,0.07353440374135971,0.07365386933088303,0.09340959712862969,0.09065760150551797
160,17,17,192,160,7,1,1,1,3,0,relu,0.0771605372428894,0.0769050695002079,0.09454506859183312,0.08989919722080231
160,17,17,160,160,7,1,1,1,3,0,relu,0.07675626799464226,0.07787626832723618,0.09498560205101966,0.09169706776738167
160,17,17,192,160,1,7,1,1,0,3,relu,0.07430186942219734,0.073379734903574,0.09467680230736733,0.10905493274331093
192,17,17,192,192,1,7,1,1,0,3,relu,0.08244159743189812,0.08241066336631775,0.0986266702413559,0.09514986947178841
192,17,17,192,192,7,1,1,1,3,0,relu,0.08079839795827866,0.08149066641926765,0.09867040291428567,0.0950592003762722
192,17,17,320,192,3,3,2,2,0,0,relu,0.10665546432137489,0.10337333232164383,0.11180640086531639,0.10843146070837975
192,17,17,192,192,3,3,2,2,0,0,relu,0.09972853511571884,0.09624746814370155,0.1044581338763237,0.10111306235194206
1280,8,8,320,1280,1,1,1,1,0,0,relu,0.062378666177392,0.12803413569927216,0.13485919833183288,0.0618853323161602
1280,8,8,384,1280,1,1,1,1,0,0,relu,0.07554933503270149,0.07587360069155694,0.0980426661670208,0.06531360074877739
384,8,8,384,384,1,3,1,1,0,1,relu,0.07225920408964157,0.07306560203433037,0.09408693388104439,0.09151413515210152
384,8,8,384,384,3,1,1,1,1,0,relu,0.09968640208244324,0.09707200601696968,0.09534293338656426,0.09250186905264854
1280,8,8,448,1280,1,1,1,1,0,0,relu,0.07529493570327758,0.07572960332036019,0.09888799861073494,0.06454719975590706
448,8,8,384,448,3,3,1,1,1,1,relu,0.15340639948844909,0.14914292991161346,0.16545653492212295,0.1619167998433113
1280,8,8,192,1280,1,1,1,1,0,0,relu,0.06255839988589287,0.110671466588974,0.1180058665573597,0.06677599996328354
2048,8,8,320,2048,1,1,1,1,0,0,relu,0.062388265132904054,0.10622346624732018,0.1375813290476799,0.06983946859836579
2048,8,8,384,2048,1,1,1,1,0,0,relu,0.06418826654553414,0.1057770662009716,0.13815093040466309,0.07415946722030639
2048,8,8,448,2048,1,1,1,1,0,0,relu,0.07699520066380501,0.14225440174341203,0.1325535997748375,0.06887946948409081
2048,8,8,192,2048,1,1,1,1,0,0,relu,0.06132000051438809,0.1420021340250969,0.15034027248620987,0.06200906559824944
