IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,7,7,2,2,3,3,relu,0.08493119701743126,0.10571520030498505,0.08564373254776,0.10717279836535454
64,56,56,256,64,1,1,1,1,0,0,relu,0.06813386529684066,0.06934719979763031,0.08801386579871177,0.07546293511986732
64,56,56,64,64,1,1,1,1,0,0,relu,0.04307519868016243,0.04184479899704456,0.047396266087889674,0.04819946736097336
64,56,56,64,64,3,3,1,1,1,1,relu,0.09737067073583602,0.09041759893298149,0.103944531083107,0.099796262383461
64,56,56,64,64,1,1,1,1,0,0,identity,0.03829066716134548,0.03797440156340599,0.043218664824962616,0.0430079985409975
64,56,56,512,64,1,1,2,2,0,0,relu,0.05400853157043457,0.05849866755306721,0.06283093243837357,0.060578135401010515
64,56,56,128,64,1,1,2,2,0,0,relu,0.040371733531355855,0.040880531445145606,0.04216426461935043,0.04363040067255497
128,28,28,128,128,3,3,1,1,1,1,relu,0.09278133288025855,0.08746186494827271,0.10082719847559929,0.09717973694205284
128,28,28,128,128,1,1,1,1,0,0,identity,0.05806719958782196,0.040083734318614006,0.045919467136263846,0.045715199410915376
128,28,28,128,128,1,1,1,1,0,0,relu,0.044527999311685565,0.04387093335390091,0.048741867765784264,0.04896053448319435
128,28,28,1024,128,1,1,2,2,0,0,relu,0.05207200013101101,0.04985919967293739,0.06122826561331749,0.05922133363783359
128,28,28,256,128,1,1,2,2,0,0,relu,0.04207466654479504,0.04221439994871616,0.046241065859794615,0.10549599565565586
256,14,14,256,256,3,3,1,1,1,1,relu,0.11420480087399483,0.12117227241396904,0.13041226714849471,0.125777068734169
256,14,14,256,256,1,1,1,1,0,0,identity,0.042876796796917915,0.04385973364114761,0.05448426753282547,0.05310613252222538
256,14,14,256,256,1,1,1,1,0,0,relu,0.045745599269866946,0.046462399512529375,0.057508266717195514,0.05572639964520931
256,14,14,2048,256,1,1,2,2,0,0,relu,0.05276160016655922,0.05041279904544353,0.06567359939217568,0.062290133908391
256,14,14,512,256,1,1,2,2,0,0,relu,0.046365867182612416,0.0459834661334753,0.04913333505392074,0.04915626868605614
512,7,7,512,512,3,3,1,1,1,1,relu,0.19947679042816163,0.19647093564271928,0.19938185811042786,0.19701866805553436
512,7,7,512,512,1,1,1,1,0,0,identity,0.0496458675712347,0.050810666382312776,0.060635202750563624,0.06158186979591847
512,7,7,512,512,1,1,1,1,0,0,relu,0.0536138653755188,0.05418186523020267,0.0635071985423565,0.06452853009104728
