IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,96,3,7,7,2,2,3,3,relu,0.13776746839284898,0.1344426691532135,0.13757012635469437,0.13624533116817475
96,55,55,16,96,1,1,1,1,0,0,relu,0.03831893466413021,0.03879786692559719,0.04237546622753143,0.04246346615254879
16,55,55,64,16,3,3,1,1,1,1,relu,0.049184535071253775,0.048338134214282034,0.054279465973377225,0.05300853326916695
16,55,55,64,16,1,1,1,1,0,0,relu,0.039839465916156766,0.03711680062115193,0.04057653211057186,0.03805653266608715
96,55,55,128,96,1,1,1,1,0,0,relu,0.056037332862615585,0.05215520039200783,0.06930453255772591,0.06771733462810517
128,55,55,16,128,1,1,1,1,0,0,relu,0.041657065972685814,0.041238933056592944,0.046017066761851314,0.04634666740894318
128,55,55,32,128,1,1,1,1,0,0,relu,0.04372906424105168,0.04281973205506802,0.04731093347072601,0.0487626675516367
32,55,55,128,32,3,3,1,1,1,1,relu,0.08279039934277535,0.08951626271009445,0.12242719680070877,0.11597066894173622
32,55,55,128,32,1,1,1,1,0,0,relu,0.04891786649823189,0.044886401295661925,0.05328960083425045,0.05050613321363926
128,55,55,256,128,1,1,1,1,0,0,relu,0.09002986773848534,0.08121493458747864,0.1283871978521347,0.08726933300495147
256,27,27,32,256,1,1,1,1,0,0,relu,0.043823468312621114,0.04311786517500878,0.04857546649873257,0.049047467112541196
32,27,27,128,32,3,3,1,1,1,1,relu,0.04941440112888813,0.04935093335807324,0.08082453384995461,0.07983093485236167
32,27,27,128,32,1,1,1,1,0,0,relu,0.03848000094294548,0.03963466808199882,0.038463468104600905,0.039309334754943845
256,27,27,48,256,1,1,1,1,0,0,relu,0.044734401255846025,0.044008532911539076,0.048408002406358716,0.04873760268092155
48,27,27,192,48,3,3,1,1,1,1,relu,0.0918218694627285,0.09082720056176186,0.09527306705713272,0.08541386425495148
48,27,27,192,48,1,1,1,1,0,0,relu,0.03937973491847515,0.03813066780567169,0.04052799940109253,0.039797866716980934
256,27,27,384,256,1,1,1,1,0,0,relu,0.0643125332891941,0.07474773228168488,0.09041066765785218,0.07260533422231674
384,27,27,48,384,1,1,1,1,0,0,relu,0.04965760186314583,0.04802186861634254,0.05527306608855724,0.05741493329405785
384,27,27,64,384,1,1,1,1,0,0,relu,0.049320536106824873,0.04831360168755054,0.057057067006826404,0.05775093361735344
64,27,27,256,64,3,3,1,1,1,1,relu,0.10506240054965019,0.10828159749507904,0.1045024000108242,0.10156853049993515
64,27,27,256,64,1,1,1,1,0,0,relu,0.04763253293931484,0.05133226476609707,0.04910666793584824,0.05515146628022194
384,27,27,512,384,1,1,1,1,0,0,relu,0.08845013305544853,0.11094026863574982,0.14403413981199265,0.09814559891819954
512,13,13,64,512,1,1,1,1,0,0,relu,0.05456746518611908,0.0935722641646862,0.061284267157316205,0.06512586623430253
64,13,13,256,64,3,3,1,1,1,1,relu,0.05775253213942051,0.05682666748762131,0.07228266596794128,0.07243573591113091
64,13,13,256,64,1,1,1,1,0,0,relu,0.038913067802786826,0.04035199955105782,0.04060213342308998,0.03996639885008335
512,13,13,1000,512,1,1,1,1,0,0,relu,0.0805898629128933,0.08182933032512665,0.1189120054244995,0.08469759672880173
