IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,299,299,32,3,3,3,2,2,0,0,relu,0.052906665951013565,0.05471573285758495,0.04536319859325886,0.04879360124468803
32,149,149,32,32,3,3,1,1,0,0,relu,0.06801066920161247,0.07587840482592582,0.09600000008940697,0.11473919823765755
32,147,147,64,32,3,3,1,1,1,1,relu,0.10514773428440094,0.0771754689514637,0.1074346661567688,0.09588053524494171
64,73,73,80,64,1,1,1,1,0,0,relu,0.0456191997975111,0.04227413274347782,0.05003946609795094,0.04903253428637981
80,73,73,192,80,3,3,1,1,0,0,relu,0.09729707092046738,0.10543786063790321,0.09985706284642219,0.10857813134789467
192,35,35,64,192,1,1,1,1,0,0,relu,0.03882666639983654,0.039048532396554946,0.05082453191280365,0.04322986714541912
192,35,35,48,192,1,1,1,1,0,0,relu,0.038656000047922134,0.03899733237922191,0.049459200352430344,0.04341760091483593
48,35,35,64,48,5,5,1,1,2,2,relu,0.0700074665248394,0.0752640038728714,0.08116907104849816,0.0697685308754444
64,35,35,96,64,3,3,1,1,1,1,relu,0.06126933284103871,0.06700373515486717,0.06340266913175582,0.05814613364636898
96,35,35,96,96,3,3,1,1,1,1,relu,0.06802773624658584,0.07307947129011154,0.06956373155117035,0.07567360699176788
192,35,35,32,192,1,1,1,1,0,0,relu,0.03894613236188889,0.03869013376533985,0.04292266592383385,0.04353706687688828
256,35,35,64,256,1,1,1,1,0,0,relu,0.042854398116469385,0.051490132510662076,0.06609919667243958,0.05732693336904049
256,35,35,48,256,1,1,1,1,0,0,relu,0.05116586610674858,0.05128533355891705,0.0645290695130825,0.057173334434628485
288,35,35,64,288,1,1,1,1,0,0,relu,0.053657598048448565,0.05307733230292797,0.05473279915750027,0.06140586994588375
288,35,35,48,288,1,1,1,1,0,0,relu,0.05483519993722439,0.042581333220005034,0.05367466397583485,0.04584106616675854
288,35,35,384,288,3,3,2,2,0,0,relu,0.088507729023695,0.08052053153514863,0.08760320246219636,0.08292693421244621
96,35,35,96,96,3,3,2,2,0,0,relu,0.0602965347468853,0.06548479795455933,0.06215679831802845,0.06743040308356285
768,17,17,192,768,1,1,1,1,0,0,relu,0.038604801148176195,0.06045013442635536,0.06647466570138931,0.03450880013406277
768,17,17,128,768,1,1,1,1,0,0,relu,0.0389290664345026,0.05795839950442314,0.06364160031080246,0.03310933262109757
128,17,17,128,128,1,7,1,1,0,3,relu,0.05826559960842133,0.06248106360435486,0.060228269174695016,0.06509226560592651
128,17,17,192,128,7,1,1,1,3,0,relu,0.05869226790964603,0.054374399781227115,0.060723201185464856,0.05678080059587955
128,17,17,128,128,7,1,1,1,3,0,relu,0.057770665362477304,0.0544768001884222,0.0613546684384346,0.05662720091640949
128,17,17,192,128,1,7,1,1,0,3,relu,0.06034773476421833,0.06512640193104743,0.06314666643738746,0.06739626452326775
768,17,17,160,768,1,1,1,1,0,0,relu,0.038673068210482595,0.0608426671475172,0.06708906814455987,0.03473066724836826
160,17,17,160,160,1,7,1,1,0,3,relu,0.061269333586096764,0.06685013025999069,0.06430720165371895,0.06901760175824165
160,17,17,192,160,7,1,1,1,3,0,relu,0.0614741325378418,0.0549546655267477,0.06338560283184051,0.05674666687846184
160,17,17,160,160,7,1,1,1,3,0,relu,0.06137173324823379,0.05447679944336414,0.06323200166225433,0.05669546835124493
160,17,17,192,160,1,7,1,1,0,3,relu,0.061695998162031175,0.06652586460113526,0.06401706635951995,0.06850560009479523
192,17,17,192,192,1,7,1,1,0,3,relu,0.06285653375089169,0.06761813536286354,0.06493866816163063,0.06981973201036454
192,17,17,192,192,7,1,1,1,3,0,relu,0.06248106583952904,0.05754879973828793,0.06447786763310433,0.05937493555247784
192,17,17,320,192,3,3,2,2,0,0,relu,0.06512640044093132,0.06205439791083336,0.06720853671431541,0.0643242672085762
192,17,17,192,192,3,3,2,2,0,0,relu,0.06367573440074921,0.06775466799736023,0.06553599759936332,0.07010986432433128
1280,8,8,320,1280,1,1,1,1,0,0,relu,0.03496960066258907,0.0806058630347252,0.0878933347761631,0.03213653340935707
1280,8,8,384,1280,1,1,1,1,0,0,relu,0.03457706682384014,0.08521386533975601,0.09243306666612625,0.032170667126774785
384,8,8,384,384,1,3,1,1,0,1,relu,0.06859093382954598,0.0730794720351696,0.07072426676750183,0.07509333565831185
384,8,8,384,384,3,1,1,1,1,0,relu,0.06836906746029854,0.061081600934267045,0.07062186822295188,0.06316373348236085
1280,8,8,448,1280,1,1,1,1,0,0,relu,0.03486719951033592,0.08997546508908272,0.09644373953342437,0.03261439949274063
448,8,8,384,448,3,3,1,1,1,1,relu,0.08111786469817162,0.08176639452576637,0.08023039996623993,0.08427519351243973
1280,8,8,192,1280,1,1,1,1,0,0,relu,0.03131733294576407,0.07193600386381149,0.07156053557991982,0.031112532317638397
2048,8,8,320,2048,1,1,1,1,0,0,relu,0.03232426643371582,0.10175146535038948,0.10642772763967515,0.03394560106098652
2048,8,8,384,2048,1,1,1,1,0,0,relu,0.03281919956207276,0.10629119351506233,0.11298133581876754,0.03413333408534527
2048,8,8,448,2048,1,1,1,1,0,0,relu,0.034355200827121735,0.11293013766407967,0.12042240723967552,0.033399466425180435
2048,8,8,192,2048,1,1,1,1,0,0,relu,0.032631466537714,0.08541866466403007,0.08313173204660415,0.03222186677157879
