IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,7,7,2,2,3,3,relu,0.042205865308642385,0.04223999977111816,0.0428885318338871,0.04212053157389164
64,56,56,64,64,3,3,1,1,1,1,relu,0.061559464782476425,0.06828373596072197,0.07681706696748733,0.0824661336839199
64,56,56,64,64,3,3,1,1,1,1,identity,0.05623466894030571,0.06236159652471542,0.07121920436620713,0.07715840265154839
64,56,56,128,64,1,1,2,2,0,0,relu,0.03143679834902287,0.038041602447628976,0.034542933106422424,0.03143679890781641
64,56,56,128,64,3,3,2,2,1,1,relu,0.059955202788114545,0.0649557314813137,0.10654720142483712,0.058538667485117914
128,28,28,128,128,3,3,1,1,1,1,identity,0.06213973574340344,0.06980266571044921,0.06545066833496094,0.07121920064091683
128,28,28,128,128,3,3,1,1,1,1,relu,0.06732799932360649,0.07388160452246666,0.07034879848361016,0.07534933462738991
128,28,28,256,128,1,1,2,2,0,0,relu,0.034560000896453856,0.03479893505573273,0.03672746829688549,0.036608001217246056
128,28,28,256,128,3,3,2,2,1,1,relu,0.0659456007182598,0.07116799876093864,0.07094613909721374,0.07290880382061005
256,14,14,256,256,3,3,1,1,1,1,identity,0.0707413338124752,0.07652693539857865,0.07304533720016479,0.07884799912571908
256,14,14,256,256,3,3,1,1,1,1,relu,0.07569067254662513,0.08140799403190613,0.07818239778280259,0.08364373072981834
256,14,14,512,256,1,1,2,2,0,0,relu,0.04201813004910946,0.04217173233628273,0.049715199321508405,0.047735469043254854
256,14,14,512,256,3,3,2,2,1,1,relu,0.07613440454006196,0.08424106314778328,0.07536640539765357,0.08052052855491638
512,7,7,512,512,3,3,1,1,1,1,identity,0.0855893298983574,0.09004373326897622,0.08762026727199554,0.09308159947395325
512,7,7,512,512,3,3,1,1,1,1,relu,0.09212586656212807,0.09473707228899002,0.09234773591160775,0.0980480007827282
