IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,96,3,7,7,2,2,3,3,relu,0.042308264225721356,0.0423253308981657,0.04237653166055679,0.04235946573317051
96,55,55,16,96,1,1,1,1,0,0,relu,0.0408575989305973,0.03979946598410607,0.04381013475358486,0.04309333302080631
16,55,55,64,16,3,3,1,1,1,1,relu,0.03628373518586159,0.03964586779475212,0.037478401139378545,0.03744426853954792
16,55,55,64,16,1,1,1,1,0,0,relu,0.02752853315323591,0.02780159991234541,0.03123199865221977,0.03174399994313717
96,55,55,128,96,1,1,1,1,0,0,relu,0.04082346558570862,0.03986773304641247,0.0498346671462059,0.04317866750061512
128,55,55,16,128,1,1,1,1,0,0,relu,0.038007468730211255,0.05580800101161003,0.055552000552415846,0.03756373338401318
128,55,55,32,128,1,1,1,1,0,0,relu,0.03785386830568314,0.055825067684054375,0.055671467632055285,0.034457600116729735
32,55,55,128,32,3,3,1,1,1,1,relu,0.0468992006033659,0.046199464425444606,0.05205333381891251,0.05201920121908188
32,55,55,128,32,1,1,1,1,0,0,relu,0.02991786729544401,0.029269333370029925,0.0300032002851367,0.029593600705266
128,55,55,256,128,1,1,1,1,0,0,relu,0.03802453503012657,0.05606400109827518,0.05585920102894306,0.03464533276855945
256,27,27,32,256,1,1,1,1,0,0,relu,0.04611413292586804,0.0455680001527071,0.05937493517994881,0.05283839777112007
32,27,27,128,32,3,3,1,1,1,1,relu,0.04486826695501804,0.04488533511757851,0.05034666545689106,0.050261330977082255
32,27,27,128,32,1,1,1,1,0,0,relu,0.028177066519856454,0.027972266636788846,0.02856959942728281,0.028228266723454
256,27,27,48,256,1,1,1,1,0,0,relu,0.046062931418418884,0.0453802652657032,0.05939200222492218,0.05275306664407253
48,27,27,192,48,3,3,1,1,1,1,relu,0.058316801115870474,0.054903465881943704,0.05775359869003296,0.05748053416609764
48,27,27,192,48,1,1,1,1,0,0,relu,0.029030399955809118,0.029184000007808207,0.029491200111806393,0.029730134084820746
256,27,27,384,256,1,1,1,1,0,0,relu,0.046301865950226784,0.040994131937623024,0.05058559738099575,0.045482666417956355
384,27,27,48,384,1,1,1,1,0,0,relu,0.039765332639217374,0.05852160044014454,0.07253333702683448,0.03688106760382652
384,27,27,64,384,1,1,1,1,0,0,relu,0.03990186676383019,0.05857280045747757,0.07150933817029,0.03660800084471703
64,27,27,256,64,3,3,1,1,1,1,relu,0.054493865370750426,0.054562133923172954,0.0635562665760517,0.06362453401088715
64,27,27,256,64,1,1,1,1,0,0,relu,0.026982398889958858,0.026931199803948404,0.027682133205235004,0.0278698667883873
384,27,27,512,384,1,1,1,1,0,0,relu,0.043093332648277284,0.05845333375036717,0.07161173820495606,0.03660800009965896
512,13,13,64,512,1,1,1,1,0,0,relu,0.03781973607838154,0.06985386461019516,0.06939306631684303,0.03534506782889366
64,13,13,256,64,3,3,1,1,1,1,relu,0.053606397658586505,0.05360639728605747,0.06277119889855384,0.06280533447861672
64,13,13,256,64,1,1,1,1,0,0,relu,0.026094932481646536,0.02618026528507471,0.027221332490444183,0.02718719933182001
512,13,13,1000,512,1,1,1,1,0,0,relu,0.03792213499546051,0.06981973201036454,0.06951253339648247,0.03821226730942726
