IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,299,299,32,3,3,3,2,2,0,0,relu,0.03372373469173908,0.0339114673435688,0.034184534847736356,0.03406506814062595
32,149,149,32,32,3,3,1,1,0,0,relu,0.06819840148091316,0.07603200376033784,0.07705599889159202,0.08335360139608383
32,147,147,64,32,3,3,1,1,1,1,relu,0.06806186661124229,0.07596373707056045,0.07639040574431419,0.08412159457802773
64,73,73,80,64,1,1,1,1,0,0,relu,0.038860800489783284,0.03705173321068287,0.04317866675555706,0.04198399744927883
80,73,73,192,80,3,3,1,1,0,0,relu,0.20278612971305848,0.07685120031237602,0.08622079938650132,0.07961600050330161
192,35,35,64,192,1,1,1,1,0,0,relu,0.04904960244894028,0.08555519804358483,0.057275733724236486,0.08705707043409347
192,35,35,48,192,1,1,1,1,0,0,relu,0.04899840168654919,0.08564053252339363,0.05737813375890255,0.08703999742865562
48,35,35,64,48,5,5,1,1,2,2,relu,0.07094613388180733,0.07565653771162033,0.07529813796281815,0.06980266571044921
64,35,35,96,64,3,3,1,1,1,1,relu,0.060245335847139356,0.06572373136878014,0.06261759996414185,0.05727573223412037
96,35,35,96,96,3,3,1,1,1,1,relu,0.06804480105638504,0.07314774096012115,0.06995626762509347,0.07471787184476852
192,35,35,32,192,1,1,1,1,0,0,relu,0.042137597873806956,0.07191893607378005,0.048640001937747,0.07326720356941223
256,35,35,64,256,1,1,1,1,0,0,relu,0.047906136885285375,0.09195520281791687,0.06558720022439957,0.08978773355484009
256,35,35,48,256,1,1,1,1,0,0,relu,0.04795733503997326,0.08948053419589996,0.06551893278956414,0.08973653241991997
288,35,35,64,288,1,1,1,1,0,0,relu,0.03834880143404007,0.06893226504325867,0.06620159670710564,0.033792001008987424
288,35,35,48,288,1,1,1,1,0,0,relu,0.03833173476159572,0.06867626756429672,0.06615039780735969,0.03387733437120914
288,35,35,384,288,3,3,2,2,0,0,relu,0.085759998857975,0.08970240205526352,0.08396799489855766,0.08842240124940873
96,35,35,96,96,3,3,2,2,0,0,relu,0.05882879942655563,0.06323200017213822,0.06070613600313664,0.06466560438275337
768,17,17,192,768,1,1,1,1,0,0,relu,0.04962986707687378,0.09091413468122482,0.09946452751755715,0.04031146876513958
768,17,17,128,768,1,1,1,1,0,0,relu,0.049237335473299025,0.09093119949102402,0.09927679598331451,0.036949333548545835
128,17,17,128,128,1,7,1,1,0,3,relu,0.056866134703159335,0.0609962671995163,0.05853866785764694,0.06364160180091857
128,17,17,192,128,7,1,1,1,3,0,relu,0.05674666836857796,0.05220693312585354,0.05821440033614635,0.05406719781458378
128,17,17,128,128,7,1,1,1,3,0,relu,0.056166401132941246,0.052053334563970564,0.058419200032949446,0.054033064469695094
128,17,17,192,128,1,7,1,1,0,3,relu,0.05664426945149899,0.06084266789257527,0.05877760089933872,0.06302720159292222
768,17,17,160,768,1,1,1,1,0,0,relu,0.049390934035182,0.09125546589493752,0.09956692978739738,0.03688106685876846
160,17,17,160,160,1,7,1,1,0,3,relu,0.06191786341369152,0.06621866300702095,0.06423893421888352,0.06850560158491134
160,17,17,192,160,7,1,1,1,3,0,relu,0.06517759710550308,0.057821865379810336,0.06382933259010315,0.05681493505835533
160,17,17,160,160,7,1,1,1,3,0,relu,0.061354666203260425,0.05469866544008255,0.06352213472127914,0.05684906840324402
160,17,17,192,160,1,7,1,1,0,3,relu,0.061986129730939865,0.06596266478300095,0.06394879966974258,0.06813013330101966
192,17,17,192,192,1,7,1,1,0,3,relu,0.06331733465194703,0.06775467023253441,0.06538240015506744,0.07043413445353508
192,17,17,192,192,7,1,1,1,3,0,relu,0.06633813455700874,0.057582933083176614,0.06517760157585144,0.05963093563914299
192,17,17,320,192,3,3,2,2,0,0,relu,0.06437546759843826,0.06818133518099785,0.066167464107275,0.07019519880414009
192,17,17,192,192,3,3,2,2,0,0,relu,0.06374400183558464,0.06848853304982186,0.06625279560685157,0.07065600156784058
1280,8,8,320,1280,1,1,1,1,0,0,relu,0.09552213139832019,0.147114659845829,0.09562453404068946,0.038092801719903945
1280,8,8,384,1280,1,1,1,1,0,0,relu,0.03993600085377693,0.14953812807798386,0.09594880342483521,0.03850240334868431
384,8,8,384,384,1,3,1,1,0,1,relu,0.06944426521658897,0.0736256055533886,0.07147520557045936,0.07529813796281815
384,8,8,384,384,3,1,1,1,1,0,relu,0.06911999732255936,0.061849597841501236,0.07101440280675889,0.06370986700057983
1280,8,8,448,1280,1,1,1,1,0,0,relu,0.040294400230050084,0.1502207949757576,0.09593173563480377,0.03821226805448532
448,8,8,384,448,3,3,1,1,1,1,relu,0.0808448001742363,0.0846847988665104,0.08246613070368766,0.08724480047821999
1280,8,8,192,1280,1,1,1,1,0,0,relu,0.04034559987485409,0.14750719368457793,0.09632427170872689,0.0382976021617651
2048,8,8,320,2048,1,1,1,1,0,0,relu,0.050653866678476336,0.3070805221796036,0.31291732788085935,0.04432213418185711
2048,8,8,384,2048,1,1,1,1,0,0,relu,0.046404266357421876,0.30766079723834994,0.3104767888784409,0.043878400698304176
2048,8,8,448,2048,1,1,1,1,0,0,relu,0.048878931999206544,0.30713172554969786,0.31342933177947996,0.044151467829942705
2048,8,8,192,2048,1,1,1,1,0,0,relu,0.049083732068538666,0.30752426385879517,0.31390719413757323,0.04427093416452408
