IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,7,7,2,2,3,3,relu,0.05140479877591133,0.06010880023241043,0.05811199955642223,0.04268373139202595
64,56,56,256,64,1,1,1,1,0,0,relu,0.034730666503310206,0.03367253430187702,0.036078935489058495,0.035703467950224874
64,56,56,64,64,1,1,1,1,0,0,relu,0.03438933379948139,0.033638400956988335,0.03618133515119552,0.035891201719641684
64,56,56,64,64,3,3,1,1,1,1,relu,0.066201601177454,0.06964906677603722,0.07809706553816795,0.08371199890971184
64,56,56,64,64,1,1,1,1,0,0,identity,0.0294570654630661,0.02928640004247427,0.030498131737113,0.030344532616436482
64,56,56,512,64,1,1,2,2,0,0,relu,0.03078826479613781,0.031044265255331993,0.03203413374722004,0.03242666721343994
64,56,56,128,64,1,1,2,2,0,0,relu,0.031624532863497735,0.03126613181084394,0.032119466736912725,0.032494932785630225
128,28,28,128,128,3,3,1,1,1,1,relu,0.0681472010910511,0.0731818713247776,0.07033173218369485,0.07563947215676307
128,28,28,128,128,1,1,1,1,0,0,identity,0.03078826479613781,0.030890664644539358,0.038092801347374916,0.03341653384268284
128,28,28,128,128,1,1,1,1,0,0,relu,0.03578880131244659,0.035908268019557,0.04305919967591763,0.038877866417169574
128,28,28,1024,128,1,1,2,2,0,0,relu,0.034304001554846766,0.03459413386881351,0.03633493483066559,0.03572053425014019
128,28,28,256,128,1,1,2,2,0,0,relu,0.03102719858288765,0.031061331741511822,0.03281919918954372,0.03275093324482441
256,14,14,256,256,3,3,1,1,1,1,relu,0.06997333467006683,0.07427413463592529,0.07195307239890099,0.07681706696748733
256,14,14,256,256,1,1,1,1,0,0,identity,0.033706667646765706,0.08558933064341545,0.04184746779501438,0.08623786643147469
256,14,14,256,256,1,1,1,1,0,0,relu,0.03793920241296291,0.08990719765424729,0.0412330649793148,0.09036800265312195
256,14,14,2048,256,1,1,2,2,0,0,relu,0.037666134908795355,0.038007468730211255,0.04155733250081539,0.04302506521344185
256,14,14,512,256,1,1,2,2,0,0,relu,0.03809280246496201,0.03824640177190304,0.041437866166234016,0.0428202647715807
512,7,7,512,512,3,3,1,1,1,1,relu,0.08188586309552193,0.08596479594707489,0.09236479923129082,0.08753493428230286
512,7,7,512,512,1,1,1,1,0,0,identity,0.04684799872338772,0.047547736763954164,0.05442559979856014,0.05748053342103958
512,7,7,512,512,1,1,1,1,0,0,relu,0.0507221307605505,0.051558398827910426,0.05778773277997971,0.06157652884721756
