IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,96,3,7,7,2,2,3,3,relu,0.04271786510944366,0.042734932526946066,0.042751996964216235,0.042820265516638756
96,55,55,16,96,1,1,1,1,0,0,relu,0.041045332327485085,0.040191999822855,0.04456106796860695,0.043912535160779954
16,55,55,64,16,3,3,1,1,1,1,relu,0.036454401165246966,0.036181334778666495,0.042325332388281824,0.039048532396554946
16,55,55,64,16,1,1,1,1,0,0,relu,0.03136853333562613,0.027682133205235004,0.031146665289998054,0.031556266359984875
96,55,55,128,96,1,1,1,1,0,0,relu,0.04008960090577603,0.03971413224935531,0.04437333382666111,0.04357120059430599
128,55,55,16,128,1,1,1,1,0,0,relu,0.0379050686955452,0.05633706822991371,0.056405334174633025,0.034440533444285396
128,55,55,32,128,1,1,1,1,0,0,relu,0.03783680126070976,0.0563370693475008,0.05642240084707737,0.034184534847736356
32,55,55,128,32,3,3,1,1,1,1,relu,0.04660906568169594,0.04652373231947422,0.06031360328197479,0.060211203247308734
32,55,55,128,32,1,1,1,1,0,0,relu,0.029627733677625657,0.029730133712291718,0.03169280029833317,0.03061759825795889
128,55,55,256,128,1,1,1,1,0,0,relu,0.03797333501279354,0.06212266944348812,0.05852160230278969,0.03428693413734436
256,27,27,32,256,1,1,1,1,0,0,relu,0.054101332649588586,0.054766932129859926,0.06582613065838813,0.05507413297891617
32,27,27,128,32,3,3,1,1,1,1,relu,0.04491946697235107,0.045056001842021944,0.05019306428730488,0.05003946572542191
32,27,27,128,32,1,1,1,1,0,0,relu,0.027869866602122782,0.027545599825680257,0.028177066706120968,0.028057599999010564
256,27,27,48,256,1,1,1,1,0,0,relu,0.053794131800532344,0.054818132892251015,0.06505813151597976,0.05495466738939285
48,27,27,192,48,3,3,1,1,1,1,relu,0.0544085331261158,0.05459626540541649,0.057651200145483014,0.05778773277997971
48,27,27,192,48,1,1,1,1,0,0,relu,0.02932053301483393,0.02938880044966936,0.029388800077140332,0.03012266717851162
256,27,27,384,256,1,1,1,1,0,0,relu,0.054050132259726526,0.054954666271805765,0.0657919965684414,0.05567146837711334
384,27,27,48,384,1,1,1,1,0,0,relu,0.04580693319439888,0.06724266782402992,0.0815615974366665,0.0369493342936039
384,27,27,64,384,1,1,1,1,0,0,relu,0.03997013196349144,0.058948267623782157,0.07198720425367355,0.03650560081005096
64,27,27,256,64,3,3,1,1,1,1,relu,0.05468159876763821,0.0542890664190054,0.06394880115985871,0.06379519924521446
64,27,27,256,64,1,1,1,1,0,0,relu,0.026982399076223372,0.026658131927251815,0.027733333222568036,0.028450133465230464
384,27,27,512,384,1,1,1,1,0,0,relu,0.04002133458852768,0.05876053273677826,0.07195307090878486,0.03696640059351921
512,13,13,64,512,1,1,1,1,0,0,relu,0.0382805347442627,0.06993919759988784,0.06976853385567665,0.035345067456364634
64,13,13,256,64,3,3,1,1,1,1,relu,0.0540501318871975,0.05393066518008709,0.06301013380289078,0.06275413408875466
64,13,13,256,64,1,1,1,1,0,0,relu,0.026299732364714147,0.026453332230448722,0.027033599838614465,0.027648000046610832
512,13,13,1000,512,1,1,1,1,0,0,relu,0.03863893449306488,0.07016106545925141,0.06959786787629127,0.03532800003886223
