IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,299,299,32,3,3,3,2,2,0,0,relu,0.04592639915645123,0.04705279991030693,0.047752535343170165,0.04983466677367687
32,149,149,32,32,3,3,1,1,0,0,relu,0.06809600293636323,0.08309760019183159,0.08048640042543412,0.09267200008034707
32,147,147,64,32,3,3,1,1,1,1,relu,0.0872960016131401,0.08683520182967186,0.09239893183112144,0.09132373481988906
64,73,73,80,64,1,1,1,1,0,0,relu,0.04341760091483593,0.0475477360188961,0.05287253260612488,0.0575829342007637
80,73,73,192,80,3,3,1,1,0,0,relu,0.09774080365896225,0.11419307067990303,0.10373120233416558,0.12054187282919884
192,35,35,64,192,1,1,1,1,0,0,relu,0.038929065316915513,0.04375893473625183,0.0542378656566143,0.05138773284852505
192,35,35,48,192,1,1,1,1,0,0,relu,0.03877546638250351,0.043451734632253644,0.05268480032682419,0.0509269330650568
48,35,35,64,48,5,5,1,1,2,2,relu,0.0702975980937481,0.08038399517536163,0.07847253233194351,0.07828479856252671
64,35,35,96,64,3,3,1,1,1,1,relu,0.06154239736497402,0.0713216058909893,0.06673066690564156,0.06654293313622475
96,35,35,96,96,3,3,1,1,1,1,relu,0.06772053688764572,0.0781141310930252,0.0724821388721466,0.08232960104942322
192,35,35,32,192,1,1,1,1,0,0,relu,0.038553600758314134,0.04293973296880722,0.0469845324754715,0.05116586573421955
256,35,35,64,256,1,1,1,1,0,0,relu,0.043161599710583684,0.047616001963615415,0.06128639914095402,0.05710506811738014
256,35,35,48,256,1,1,1,1,0,0,relu,0.04293973185122013,0.04715520143508911,0.05969920232892036,0.0568149346858263
288,35,35,64,288,1,1,1,1,0,0,relu,0.04543146528303623,0.0498175997287035,0.05551786758005619,0.05497173368930817
288,35,35,48,288,1,1,1,1,0,0,relu,0.038365868479013444,0.042001064494252206,0.054391466453671454,0.051421865820884705
288,35,35,384,288,3,3,2,2,0,0,relu,0.08229546621441841,0.08197119683027268,0.08673280328512192,0.08627199828624725
96,35,35,96,96,3,3,2,2,0,0,relu,0.058794667944312096,0.06654293313622475,0.06287360042333603,0.0705024003982544
768,17,17,192,768,1,1,1,1,0,0,relu,0.03729066774249077,0.06241279914975166,0.06681600064039231,0.04027733393013477
768,17,17,128,768,1,1,1,1,0,0,relu,0.037700268998742105,0.059374934807419774,0.06386346742510796,0.03824640214443207
128,17,17,128,128,1,7,1,1,0,3,relu,0.0559786681085825,0.06405119970440865,0.060484268516302106,0.06826666593551636
128,17,17,192,128,7,1,1,1,3,0,relu,0.05701973587274552,0.056302934885025024,0.06149119958281517,0.061030402034521106
128,17,17,128,128,7,1,1,1,3,0,relu,0.056029867753386496,0.055193600431084636,0.06063786782324314,0.05947733521461487
128,17,17,192,128,1,7,1,1,0,3,relu,0.05707093402743339,0.06488746926188468,0.06184959709644318,0.06934186667203904
768,17,17,160,768,1,1,1,1,0,0,relu,0.03694933466613293,0.060996267944574356,0.06539946720004082,0.03981653340160847
160,17,17,160,160,1,7,1,1,0,3,relu,0.061320530250668526,0.06910292878746986,0.06606506407260895,0.07365973442792892
160,17,17,192,160,7,1,1,1,3,0,relu,0.061098667234182356,0.058504534512758256,0.06567253097891808,0.06307839974761009
160,17,17,160,160,7,1,1,1,3,0,relu,0.06082560159265995,0.058453334495425224,0.06579199805855751,0.06282240152359009
160,17,17,192,160,1,7,1,1,0,3,relu,0.06161066405475139,0.06993919909000397,0.06615039706230164,0.07463253289461136
192,17,17,192,192,1,7,1,1,0,3,relu,0.062583464756608,0.07116800174117088,0.06766933351755142,0.07545173913240433
192,17,17,192,192,7,1,1,1,3,0,relu,0.062378663942217825,0.061218132823705675,0.06679893434047698,0.0657237321138382
192,17,17,320,192,3,3,2,2,0,0,relu,0.06541653275489807,0.06645759865641594,0.06988800019025802,0.07072426825761795
192,17,17,192,192,3,3,2,2,0,0,relu,0.06345386803150177,0.07138987109065056,0.06790826842188835,0.07587840482592582
1280,8,8,320,1280,1,1,1,1,0,0,relu,0.034628265723586085,0.08466773107647896,0.09000960066914558,0.03898026496171951
1280,8,8,384,1280,1,1,1,1,0,0,relu,0.034628266096115114,0.08879786655306816,0.09395200088620186,0.040004266798496245
384,8,8,384,384,1,3,1,1,0,1,relu,0.06941013634204865,0.08016213178634643,0.07405227050185204,0.08311466351151467
384,8,8,384,384,3,1,1,1,1,0,relu,0.0695296011865139,0.06703786477446556,0.07408640384674073,0.07024640142917633
1280,8,8,448,1280,1,1,1,1,0,0,relu,0.03476479910314083,0.0933034673333168,0.09857707023620606,0.038741333037614824
448,8,8,384,448,3,3,1,1,1,1,relu,0.07724373489618301,0.08516266271471977,0.08226132988929749,0.08968533352017402
1280,8,8,192,1280,1,1,1,1,0,0,relu,0.031419732980430125,0.07543467059731483,0.07338667213916779,0.03754666894674301
2048,8,8,320,2048,1,1,1,1,0,0,relu,0.03234133385121822,0.1032362662255764,0.1082367978990078,0.04087466523051262
2048,8,8,384,2048,1,1,1,1,0,0,relu,0.03246079944074154,0.10989226624369622,0.11499519869685174,0.041198932006955145
2048,8,8,448,2048,1,1,1,1,0,0,relu,0.03454293385148048,0.11665066927671433,0.12189013138413429,0.03998720124363899
2048,8,8,192,2048,1,1,1,1,0,0,relu,0.0322560004889965,0.08929280117154122,0.08535039648413659,0.03851946778595448
