IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,7,7,2,2,3,3,relu,0.042734931036829946,0.047735468670725825,0.05159253254532814,0.05628586821258068
64,56,56,64,64,3,3,1,1,1,1,relu,0.062139731273055075,0.07342080175876617,0.08053759709000588,0.09036800116300583
64,56,56,64,64,3,3,1,1,1,1,identity,0.056302934512495996,0.06838613450527191,0.07442773431539536,0.08485546261072159
64,56,56,128,64,1,1,2,2,0,0,relu,0.03097599819302559,0.034935467317700385,0.0352938674390316,0.03954346589744091
64,56,56,128,64,3,3,2,2,1,1,relu,0.06108160056173802,0.07055359780788421,0.0654848001897335,0.13866667225956916
128,28,28,128,128,3,3,1,1,1,1,identity,0.0620543971657753,0.07266987189650535,0.06732800379395484,0.07703893259167671
128,28,28,128,128,3,3,1,1,1,1,relu,0.06741333603858948,0.07789226248860359,0.07261866927146912,0.08219306394457818
128,28,28,256,128,1,1,2,2,0,0,relu,0.034833066537976264,0.035891201719641684,0.03703466691076755,0.04077226631343365
128,28,28,256,128,3,3,2,2,1,1,relu,0.06285653412342071,0.0695637322962284,0.06657706648111343,0.07413759753108025
256,14,14,256,256,3,3,1,1,1,1,identity,0.06703786700963973,0.07618560269474983,0.0719189390540123,0.08093013092875481
256,14,14,256,256,3,3,1,1,1,1,relu,0.07142400443553924,0.0802815981209278,0.07654400244355201,0.08465066477656365
256,14,14,512,256,1,1,2,2,0,0,relu,0.03906559869647026,0.043451734632253644,0.046318932250142095,0.05143893286585808
256,14,14,512,256,3,3,2,2,1,1,relu,0.0687786653637886,0.0770730659365654,0.07342080250382424,0.08144212886691093
512,7,7,512,512,3,3,1,1,1,1,identity,0.07881386503577233,0.0872618667781353,0.08388266414403915,0.09161386638879776
512,7,7,512,512,3,3,1,1,1,1,relu,0.08342186585068703,0.09142613261938096,0.08820053860545159,0.09611947014927864
