IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,96,3,7,7,2,2,3,3,relu,0.04213759899139404,0.04734293408691883,0.05432319827377796,0.05594453550875187
96,55,55,16,96,1,1,1,1,0,0,relu,0.04022613354027271,0.04461226761341095,0.0471210677176714,0.05145599953830242
16,55,55,64,16,3,3,1,1,1,1,relu,0.03590826839208603,0.04259839951992035,0.04172799848020077,0.04607999995350838
16,55,55,64,16,1,1,1,1,0,0,relu,0.02717013265937567,0.03676160015165806,0.03317759893834591,0.03814400099217892
96,55,55,128,96,1,1,1,1,0,0,relu,0.04049919918179512,0.044748802110552786,0.0515072014182806,0.051285332441329955
128,55,55,16,128,1,1,1,1,0,0,relu,0.03961173333227634,0.06249813176691532,0.05852160044014454,0.04218879789113998
128,55,55,32,128,1,1,1,1,0,0,relu,0.03763200156390667,0.061559464782476425,0.058180267363786696,0.04237653166055679
32,55,55,128,32,3,3,1,1,1,1,relu,0.04643840007483959,0.05097813196480274,0.06301013305783272,0.06727680414915085
32,55,55,128,32,1,1,1,1,0,0,relu,0.029610667005181314,0.03496960066258907,0.03573760092258453,0.03913386911153793
128,55,55,256,128,1,1,1,1,0,0,relu,0.03983360230922699,0.06905173361301423,0.05852159932255745,0.04223999790847301
256,27,27,32,256,1,1,1,1,0,0,relu,0.05345279835164547,0.05937493517994881,0.06773760244250297,0.06242986507713795
32,27,27,128,32,3,3,1,1,1,1,relu,0.04454400092363357,0.049049601703882215,0.05283839888870716,0.05719039998948574
32,27,27,128,32,1,1,1,1,0,0,relu,0.02754559963941574,0.035362134501338,0.03077119793742895,0.035072000324726106
256,27,27,48,256,1,1,1,1,0,0,relu,0.05393066592514515,0.05971626862883568,0.06816426813602447,0.06265173368155956
48,27,27,192,48,3,3,1,1,1,1,relu,0.054391466453671454,0.059323734045028685,0.060603737458586694,0.06483627036213875
48,27,27,192,48,1,1,1,1,0,0,relu,0.0289450665935874,0.033774934336543085,0.032255999743938446,0.036693333834409717
256,27,27,384,256,1,1,1,1,0,0,relu,0.053828264772892,0.05934080146253109,0.06799360290169716,0.06227626353502273
384,27,27,48,384,1,1,1,1,0,0,relu,0.045858130976557734,0.07200427055358886,0.08688639923930168,0.05321386568248272
384,27,27,64,384,1,1,1,1,0,0,relu,0.0453973326832056,0.07190186977386474,0.08369493037462235,0.05034666545689106
64,27,27,256,64,3,3,1,1,1,1,relu,0.06400000005960464,0.0683519996702671,0.07787519469857215,0.08277333527803421
64,27,27,256,64,1,1,1,1,0,0,relu,0.030122667364776135,0.03457706645131111,0.03502080105245113,0.039338665828108785
384,27,27,512,384,1,1,1,1,0,0,relu,0.04558506533503533,0.06280533336102963,0.0741717353463173,0.04428800046443939
512,13,13,64,512,1,1,1,1,0,0,relu,0.038041602820158005,0.07383040189743043,0.07531520202755929,0.04215466678142547
64,13,13,256,64,3,3,1,1,1,1,relu,0.053862398490309715,0.05734400078654289,0.06500693336129189,0.0684373326599598
64,13,13,256,64,1,1,1,1,0,0,relu,0.025753599405288697,0.02932053357362747,0.029542400501668453,0.033160532265901564
512,13,13,1000,512,1,1,1,1,0,0,relu,0.04026026837527752,0.07422293722629547,0.07326720356941223,0.04183039925992489
