IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,299,299,32,3,3,3,2,2,0,0,relu,0.035413334518671034,0.04097706601023674,0.03875840157270431,0.044441601261496544
32,149,149,32,32,3,3,1,1,0,0,relu,0.0690517321228981,0.08422399461269378,0.08156159520149231,0.09444693699479104
32,147,147,64,32,3,3,1,1,1,1,relu,0.06935893222689629,0.08425813168287277,0.08063999712467193,0.09480533674359322
64,73,73,80,64,1,1,1,1,0,0,relu,0.0402602668851614,0.04416853338479996,0.04823040179908276,0.05244586765766144
80,73,73,192,80,3,3,1,1,0,0,relu,0.08432639390230179,0.08347306698560715,0.09074346795678138,0.08890027031302453
192,35,35,64,192,1,1,1,1,0,0,relu,0.05055146366357803,0.0915114663541317,0.061559464782476425,0.09630720689892769
192,35,35,48,192,1,1,1,1,0,0,relu,0.05061973258852959,0.09198933392763138,0.061047468706965445,0.0958805374801159
48,35,35,64,48,5,5,1,1,2,2,relu,0.07278933599591256,0.08162986338138581,0.07913813143968582,0.07912106364965439
64,35,35,96,64,3,3,1,1,1,1,relu,0.061900798603892325,0.07109973728656768,0.06656000018119812,0.06652586534619331
96,35,35,96,96,3,3,1,1,1,1,relu,0.06927359998226165,0.07973546609282493,0.07458133548498154,0.0843946635723114
192,35,35,32,192,1,1,1,1,0,0,relu,0.05043199844658375,0.08331946805119514,0.056200535222887996,0.08115199580788612
256,35,35,64,256,1,1,1,1,0,0,relu,0.049339734390378,0.09490773677825928,0.07033173143863677,0.09803093522787094
256,35,35,48,256,1,1,1,1,0,0,relu,0.05003946721553802,0.09475413858890533,0.07002453058958054,0.09792853742837906
288,35,35,64,288,1,1,1,1,0,0,relu,0.03966293223202229,0.0733866699039936,0.06993919983506203,0.042069331556558606
288,35,35,48,288,1,1,1,1,0,0,relu,0.039526399970054624,0.07336960434913635,0.06959786713123321,0.04247893132269383
288,35,35,384,288,3,3,2,2,0,0,relu,0.08243199810385704,0.09074346944689751,0.08755200058221817,0.09567573666572571
96,35,35,96,96,3,3,2,2,0,0,relu,0.061883730441331865,0.06930773258209229,0.064955735206604,0.0724480040371418
768,17,17,192,768,1,1,1,1,0,0,relu,0.05026133209466934,0.09550507217645646,0.10270719975233078,0.04538026601076126
768,17,17,128,768,1,1,1,1,0,0,relu,0.05034666508436203,0.09603413492441178,0.10538666620850563,0.0455168005079031
128,17,17,128,128,1,7,1,1,0,3,relu,0.05990400090813637,0.0671573355793953,0.06328320056200028,0.10359466597437858
128,17,17,192,128,7,1,1,1,3,0,relu,0.05947733484208584,0.05647360235452652,0.0629418671131134,0.0613205324858427
128,17,17,128,128,7,1,1,1,3,0,relu,0.058419200405478475,0.05584213435649872,0.06280533298850059,0.061371732875704764
128,17,17,192,128,1,7,1,1,0,3,relu,0.05937493368983269,0.06708906888961792,0.06324906870722771,0.07053653374314309
768,17,17,160,768,1,1,1,1,0,0,relu,0.050551464408636095,0.0960853360593319,0.10296319648623467,0.04543146565556526
160,17,17,160,160,1,7,1,1,0,3,relu,0.06348800137639046,0.07132160291075706,0.06792533695697785,0.07563947290182113
160,17,17,192,160,7,1,1,1,3,0,relu,0.06370986923575402,0.05925546921789646,0.0679253339767456,0.06447786912322044
160,17,17,160,160,7,1,1,1,3,0,relu,0.06357333585619926,0.05901653505861759,0.06795946806669236,0.064307202398777
160,17,17,192,160,1,7,1,1,0,3,relu,0.06340266838669777,0.07161173596978188,0.06816426739096641,0.07555413767695426
192,17,17,192,192,1,7,1,1,0,3,relu,0.06485333368182182,0.07292587012052536,0.06905173361301423,0.07751680091023445
192,17,17,192,192,7,1,1,1,3,0,relu,0.12412586957216262,0.06239573061466217,0.06927359774708748,0.06708906814455987
192,17,17,320,192,3,3,2,2,0,0,relu,0.06534826532006263,0.07290880605578423,0.06995626538991928,0.07755093425512313
192,17,17,192,192,3,3,2,2,0,0,relu,0.06498986706137658,0.0726698711514473,0.06995626464486122,0.0774485319852829
1280,8,8,320,1280,1,1,1,1,0,0,relu,0.04147199839353562,0.1517568051815033,0.09958399310708047,0.04626773372292518
1280,8,8,384,1280,1,1,1,1,0,0,relu,0.04145493283867836,0.15218347311019897,0.09948159828782081,0.04614826701581478
384,8,8,384,384,1,3,1,1,0,1,relu,0.0691541351377964,0.07722666785120964,0.07441066652536392,0.08197119757533074
384,8,8,384,384,3,1,1,1,1,0,relu,0.0693759985268116,0.06608213037252426,0.07442773580551147,0.07096320316195488
1280,8,8,448,1280,1,1,1,1,0,0,relu,0.04205226451158524,0.15121067315340042,0.0996181271970272,0.04633600078523159
448,8,8,384,448,3,3,1,1,1,1,relu,0.11402239948511124,0.08968533650040626,0.08552106469869614,0.09318399876356125
1280,8,8,192,1280,1,1,1,1,0,0,relu,0.04145493321120739,0.1510741427540779,0.09944745749235154,0.04618240110576153
2048,8,8,320,2048,1,1,1,1,0,0,relu,0.04742826856672764,0.3121834576129913,0.3134976029396057,0.052684799581766126
2048,8,8,384,2048,1,1,1,1,0,0,relu,0.0472917340695858,0.31202985644340514,0.3148117423057556,0.053060265630483626
2048,8,8,448,2048,1,1,1,1,0,0,relu,0.047172267362475394,0.3119103878736496,0.31371947228908537,0.05326506495475769
2048,8,8,192,2048,1,1,1,1,0,0,relu,0.047035733982920644,0.3125930607318878,0.31378773748874667,0.053282133489847186
