IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,7,7,2,2,3,3,relu,0.04321280047297478,0.048145069554448125,0.05304319858551025,0.05785599984228611
64,56,56,256,64,1,1,1,1,0,0,relu,0.040601601079106334,0.05560319982469082,0.04968106597661972,0.05449386686086655
64,56,56,64,64,1,1,1,1,0,0,relu,0.04983466565608978,0.049373867362737654,0.05666133500635624,0.061030398681759836
64,56,56,64,64,3,3,1,1,1,1,relu,0.06289066448807716,0.08840533420443535,0.09359359890222549,0.12818772941827775
64,56,56,64,64,1,1,1,1,0,0,identity,0.031044265255331993,0.04365653470158577,0.04437333568930626,0.04993706755340099
64,56,56,512,64,1,1,2,2,0,0,relu,0.046353065967559816,0.04379306882619858,0.04648960046470165,0.05635413452982903
64,56,56,128,64,1,1,2,2,0,0,relu,0.040123733878135684,0.040516268089413644,0.04546559974551201,0.048025600239634515
128,28,28,128,128,3,3,1,1,1,1,relu,0.08678399920463561,0.10269013270735741,0.08072533160448074,0.10142719894647598
128,28,28,128,128,1,1,1,1,0,0,identity,0.031197866052389146,0.035737601667642595,0.041471999138593674,0.04174506515264511
128,28,28,128,128,1,1,1,1,0,0,relu,0.036164268106222155,0.04087466523051262,0.04642133265733719,0.04700160026550293
128,28,28,1024,128,1,1,2,2,0,0,relu,0.0353450670838356,0.0393045324832201,0.040857598558068274,0.045226667821407315
128,28,28,256,128,1,1,2,2,0,0,relu,0.03514026664197445,0.03915093317627907,0.04068693220615387,0.0446976013481617
256,14,14,256,256,3,3,1,1,1,1,relu,0.07777279689908027,0.08750080093741416,0.08359253481030464,0.09326933398842811
256,14,14,256,256,1,1,1,1,0,0,identity,0.041233067587018016,0.10304853320121765,0.05145599879324436,0.09910613223910332
256,14,14,256,256,1,1,1,1,0,0,relu,0.040174932405352595,0.09973759427666665,0.054118400812149046,0.10349226742982864
256,14,14,2048,256,1,1,2,2,0,0,relu,0.040226135030388833,0.044885333999991416,0.04816213622689247,0.0534527987241745
256,14,14,512,256,1,1,2,2,0,0,relu,0.04085759930312634,0.05241173207759857,0.05420373305678368,0.06048426777124405
512,7,7,512,512,3,3,1,1,1,1,relu,0.10734933167696,0.09413973316550255,0.09064106792211532,0.11975680068135261
512,7,7,512,512,1,1,1,1,0,0,identity,0.05565439946949482,0.05905066467821598,0.07031466588377952,0.07958186790347099
512,7,7,512,512,1,1,1,1,0,0,relu,0.0586752001196146,0.058641068264842035,0.06536533385515213,0.071714136749506
