IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,96,3,7,7,2,2,3,3,relu,0.04326399974524975,0.047650135681033136,0.05280426703393459,0.05688320063054562
96,55,55,16,96,1,1,1,1,0,0,relu,0.04053333178162575,0.04522666484117508,0.047837870195508,0.05321386680006981
16,55,55,64,16,3,3,1,1,1,1,relu,0.03650560081005096,0.041727997735142706,0.10905599668622017,0.04787200093269348
16,55,55,64,16,1,1,1,1,0,0,relu,0.028415999934077264,0.032921599596738814,0.03416746780276299,0.039048534259200095
96,55,55,128,96,1,1,1,1,0,0,relu,0.041762131825089456,0.047172266989946365,0.05275306478142738,0.05434026643633842
128,55,55,16,128,1,1,1,1,0,0,relu,0.039799464866518974,0.06487039923667907,0.06157653518021107,0.045038933679461476
128,55,55,32,128,1,1,1,1,0,0,relu,0.03950933218002319,0.06446079984307289,0.06055253595113754,0.044202669709920886
32,55,55,128,32,3,3,1,1,1,1,relu,0.047564803063869475,0.0526335995644331,0.06541653499007224,0.08564053103327751
32,55,55,128,32,1,1,1,1,0,0,relu,0.0304810656234622,0.03491840027272701,0.03543040119111538,0.039150931686162946
128,55,55,256,128,1,1,1,1,0,0,relu,0.0481962688267231,0.0819541297852993,0.0733013354241848,0.05456213243305683
256,27,27,32,256,1,1,1,1,0,0,relu,0.06198613047599792,0.06824960112571717,0.07855786457657814,0.06372693330049514
32,27,27,128,32,3,3,1,1,1,1,relu,0.05439146496355533,0.059067733213305475,0.05403306484222412,0.058965335786342624
32,27,27,128,32,1,1,1,1,0,0,relu,0.02829653341323137,0.03283626548945904,0.03188053295016289,0.03647146858274937
256,27,27,48,256,1,1,1,1,0,0,relu,0.0544768001884222,0.06466560102999211,0.07867733240127564,0.0705536000430584
48,27,27,192,48,3,3,1,1,1,1,relu,0.054596268013119696,0.05698559992015362,0.05848746784031391,0.06295893415808677
48,27,27,192,48,1,1,1,1,0,0,relu,0.028706133365631104,0.03329706601798534,0.032392533496022224,0.03652266748249531
256,27,27,384,256,1,1,1,1,0,0,relu,0.051950933411717415,0.057821867242455485,0.06609919816255569,0.06125226616859436
384,27,27,48,384,1,1,1,1,0,0,relu,0.054528000950813296,0.08896853476762771,0.08695466816425323,0.061303463950753215
384,27,27,64,384,1,1,1,1,0,0,relu,0.05418666340410709,0.0865791991353035,0.09552213475108147,0.04964693300426006
64,27,27,256,64,3,3,1,1,1,1,relu,0.06906879767775535,0.07427413687109947,0.07511040419340134,0.07983786687254905
64,27,27,256,64,1,1,1,1,0,0,relu,0.029798400588333607,0.03386026807129383,0.03409920036792755,0.03850239962339401
384,27,27,512,384,1,1,1,1,0,0,relu,0.044356264546513556,0.08541866540908813,0.09977172911167145,0.04689919985830784
512,13,13,64,512,1,1,1,1,0,0,relu,0.05029546581208706,0.1004373274743557,0.07500800415873528,0.044578134268522265
64,13,13,256,64,3,3,1,1,1,1,relu,0.0560981348156929,0.05986986942589283,0.06860799714922905,0.07205547019839287
64,13,13,256,64,1,1,1,1,0,0,relu,0.027613866329193115,0.030993064865469933,0.03191466741263867,0.0355840016156435
512,13,13,1000,512,1,1,1,1,0,0,relu,0.03971413262188435,0.07640746906399727,0.0753493383526802,0.04439040124416351
