IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,299,299,32,3,3,3,2,2,0,0,relu,0.11912213042378425,0.12085120305418968,0.18366239666938783,0.1783957302570343
32,149,149,32,32,3,3,1,1,0,0,relu,0.12617120146751404,0.18530613481998442,0.15306773632764817,0.2154645338654518
32,147,147,64,32,3,3,1,1,1,1,relu,0.1356639988720417,0.18480052947998046,0.17545226514339446,0.21829120218753814
64,73,73,80,64,1,1,1,1,0,0,relu,0.06839360073208808,0.07083626687526703,0.0699978657066822,0.07301919981837272
80,73,73,192,80,3,3,1,1,0,0,relu,0.15358080118894576,0.18210933804512025,0.16336692869663239,0.2059525340795517
192,35,35,64,192,1,1,1,1,0,0,relu,0.08376533463597298,0.08016320019960403,0.08339679762721061,0.08343040049076081
192,35,35,48,192,1,1,1,1,0,0,relu,0.08036693334579467,0.07979840263724328,0.08320106565952301,0.08353386670351029
48,35,35,64,48,5,5,1,1,2,2,relu,0.1877685397863388,0.17000906467437743,0.17828533053398132,0.17820640206336974
64,35,35,96,64,3,3,1,1,1,1,relu,0.0733018659055233,0.08788533061742783,0.07664799839258193,0.09048266857862472
96,35,35,96,96,3,3,1,1,1,1,relu,0.0816314660012722,0.09848639890551567,0.08855200037360192,0.10479093492031097
192,35,35,32,192,1,1,1,1,0,0,relu,0.07865759879350662,0.07832266688346863,0.08075839877128602,0.08190346583724022
256,35,35,64,256,1,1,1,1,0,0,relu,0.09220533221960067,0.1245391994714737,0.11324159875512123,0.09243040084838867
256,35,35,48,256,1,1,1,1,0,0,relu,0.09060320109128953,0.12457706481218338,0.11331040486693382,0.09226186648011207
288,35,35,64,288,1,1,1,1,0,0,relu,0.1166464000940323,0.14108746647834777,0.13061172962188722,0.10113493278622628
288,35,35,48,288,1,1,1,1,0,0,relu,0.11581866815686226,0.14117600172758102,0.1305194690823555,0.10034186765551567
288,35,35,384,288,3,3,2,2,0,0,relu,0.2985365241765976,0.3167941302061081,0.3123989224433899,0.3341343939304352
96,35,35,96,96,3,3,2,2,0,0,relu,0.11006026640534401,0.11052159741520881,0.11387786716222763,0.11411466598510742
768,17,17,192,768,1,1,1,1,0,0,relu,0.16571733355522156,0.18975040167570115,0.1800997331738472,0.15077066719532012
768,17,17,128,768,1,1,1,1,0,0,relu,0.16491306573152542,0.1887962758541107,0.17977386862039565,0.15075199753046037
128,17,17,128,128,1,7,1,1,0,3,relu,0.11359626799821854,0.11341653168201446,0.11516320034861564,0.11518719792366028
128,17,17,192,128,7,1,1,1,3,0,relu,0.11600639894604683,0.12854506969451904,0.12195946797728538,0.13733279705047607
128,17,17,128,128,7,1,1,1,3,0,relu,0.1164517305791378,0.12895573377609254,0.12085279747843743,0.13739573061466218
128,17,17,192,128,1,7,1,1,0,3,relu,0.11345119848847389,0.11388266682624817,0.11516266763210296,0.11500000432133675
768,17,17,160,768,1,1,1,1,0,0,relu,0.16461706459522246,0.18906773924827575,0.1800965338945389,0.1505162686109543
160,17,17,160,160,1,7,1,1,0,3,relu,0.1573168009519577,0.16939360350370408,0.1614047959446907,0.17410933524370192
160,17,17,192,160,7,1,1,1,3,0,relu,0.1376656025648117,0.15161973536014556,0.14465226531028746,0.15790239721536636
160,17,17,160,160,7,1,1,1,3,0,relu,0.1375274732708931,0.1503503993153572,0.14399573653936387,0.17215840071439742
160,17,17,192,160,1,7,1,1,0,3,relu,0.15833653509616852,0.17021226584911348,0.16207680106163025,0.1741296023130417
192,17,17,192,192,1,7,1,1,0,3,relu,0.1869925379753113,0.20095733404159546,0.1940282627940178,0.20595253258943558
192,17,17,192,192,7,1,1,1,3,0,relu,0.16818986237049102,0.1826400026679039,0.1770320028066635,0.19072586596012114
192,17,17,320,192,3,3,2,2,0,0,relu,0.17588373124599457,0.18621759861707687,0.1817440003156662,0.19258239716291428
192,17,17,192,192,3,3,2,2,0,0,relu,0.17565227150917054,0.18575840145349504,0.18113333135843276,0.19262026846408845
1280,8,8,320,1280,1,1,1,1,0,0,relu,0.17662934064865113,0.19179573506116868,0.18514187037944793,0.1986261337995529
1280,8,8,384,1280,1,1,1,1,0,0,relu,0.17647893279790877,0.19071413427591324,0.1837904006242752,0.19933760464191436
384,8,8,384,384,1,3,1,1,0,1,relu,0.1370602637529373,0.13707306534051894,0.1386495977640152,0.1393157348036766
384,8,8,384,384,3,1,1,1,1,0,relu,0.13585920184850692,0.13593653589487076,0.13773226588964463,0.13794559985399246
1280,8,8,448,1280,1,1,1,1,0,0,relu,0.17573706507682801,0.19062453657388687,0.18480746448040009,0.1989898681640625
448,8,8,384,448,3,3,1,1,1,1,relu,0.22049760520458223,0.2389109328389168,0.23277386724948884,0.24442826956510544
1280,8,8,192,1280,1,1,1,1,0,0,relu,0.18085333108901977,0.19179519563913344,0.18473919928073884,0.19836533516645433
2048,8,8,320,2048,1,1,1,1,0,0,relu,0.3246810704469681,0.32443573176860807,0.33414186239242555,0.33879094421863554
2048,8,8,384,2048,1,1,1,1,0,0,relu,0.3239023953676224,0.32392906248569486,0.3323877364397049,0.3327829360961914
2048,8,8,448,2048,1,1,1,1,0,0,relu,0.3233882635831833,0.32419573068618773,0.33263092637062075,0.3329952031373978
2048,8,8,192,2048,1,1,1,1,0,0,relu,0.32393600046634674,0.32436532974243165,0.3325184017419815,0.3333221346139908
