IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,7,7,2,2,3,3,relu,0.20728266686201097,0.20826026797294617,0.3213877290487289,0.32250346839427946
64,56,56,64,64,3,3,1,1,1,1,relu,0.09089333266019821,0.1105674684047699,0.10269759893417359,0.12425173446536064
64,56,56,64,64,3,3,1,1,1,1,identity,0.10053013488650323,0.13194026947021484,0.11341759711503982,0.1525477334856987
64,56,56,128,64,1,1,2,2,0,0,relu,0.04026453234255314,0.04040533378720283,0.045452801138162614,0.03793386667966843
64,56,56,128,64,3,3,2,2,1,1,relu,0.09793599918484688,0.09820693284273148,0.10960373356938362,0.10381013453006745
128,28,28,128,128,3,3,1,1,1,1,identity,0.09844853430986404,0.1074837327003479,0.10569706633687019,0.1256970651447773
128,28,28,128,128,3,3,1,1,1,1,relu,0.09227626472711563,0.10893759578466415,0.09997653290629387,0.11780320107936859
128,28,28,256,128,1,1,2,2,0,0,relu,0.0430714663118124,0.04318346753716469,0.04374560080468655,0.04390453323721886
128,28,28,256,128,3,3,2,2,1,1,relu,0.139273065328598,0.13917600065469743,0.14497920125722885,0.15140320360660553
256,14,14,256,256,3,3,1,1,1,1,identity,0.12170186564326287,0.1331824019551277,0.138094399869442,0.14908906519412995
256,14,14,256,256,3,3,1,1,1,1,relu,0.11940319836139679,0.14043946862220763,0.13104639947414398,0.14472747296094896
256,14,14,512,256,1,1,2,2,0,0,relu,0.05324853360652924,0.0535349328070879,0.054450133070349696,0.05437386594712734
256,14,14,512,256,3,3,2,2,1,1,relu,0.23901440501213073,0.23491680026054382,0.23825920671224593,0.2399797335267067
512,7,7,512,512,3,3,1,1,1,1,identity,0.27564533054828644,0.2837999999523163,0.28834507465362547,0.29628799855709076
512,7,7,512,512,3,3,1,1,1,1,relu,0.2719242662191391,0.29296959936618805,0.283842658996582,0.29797280132770537
