IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,96,3,7,7,2,2,3,3,relu,0.2093397334218025,0.20966453701257706,0.32334612905979154,0.3278917342424393
96,55,55,16,96,1,1,1,1,0,0,relu,0.07101759761571884,0.0928847998380661,0.07374026700854301,0.09290399998426438
16,55,55,64,16,3,3,1,1,1,1,relu,0.05413280092179775,0.05336426608264446,0.0538698673248291,0.054041067510843276
16,55,55,64,16,1,1,1,1,0,0,relu,0.036208533495664594,0.03792213350534439,0.03447093404829502,0.03428693264722824
96,55,55,128,96,1,1,1,1,0,0,relu,0.06554720029234887,0.0846229337155819,0.0681178666651249,0.0846693329513073
128,55,55,16,128,1,1,1,1,0,0,relu,0.07556213289499283,0.11515626534819604,0.09303146600723267,0.07662506699562073
128,55,55,32,128,1,1,1,1,0,0,relu,0.07541813179850579,0.11386879980564117,0.09239040166139603,0.07765600010752678
32,55,55,128,32,3,3,1,1,1,1,relu,0.07063893526792527,0.07080160155892372,0.07437493279576302,0.07475840002298355
32,55,55,128,32,1,1,1,1,0,0,relu,0.039030933380126955,0.03933386653661728,0.03852479979395866,0.039321066439151765
128,55,55,256,128,1,1,1,1,0,0,relu,0.07588319927453994,0.11450773254036903,0.09256160110235215,0.07691360041499137
256,27,27,32,256,1,1,1,1,0,0,relu,0.0831418663263321,0.09520693346858025,0.08732373043894767,0.07093653231859207
32,27,27,128,32,3,3,1,1,1,1,relu,0.05911946706473827,0.058662932738661765,0.05910880081355572,0.058982934802770615
32,27,27,128,32,1,1,1,1,0,0,relu,0.0351642657071352,0.03457813449203968,0.034935466945171356,0.034563732147216794
256,27,27,48,256,1,1,1,1,0,0,relu,0.07211466729640961,0.09376319944858551,0.08736853525042534,0.07092319801449776
48,27,27,192,48,3,3,1,1,1,1,relu,0.07192213386297226,0.07137279808521271,0.07201279997825623,0.07242293357849121
48,27,27,192,48,1,1,1,1,0,0,relu,0.03727679923176765,0.036727466806769374,0.036829333007335666,0.03694826699793339
256,27,27,384,256,1,1,1,1,0,0,relu,0.0720783993601799,0.09423519745469093,0.08703946620225907,0.07027733251452446
384,27,27,48,384,1,1,1,1,0,0,relu,0.0989018663764,0.13735200017690657,0.13003893345594406,0.09785279855132104
384,27,27,64,384,1,1,1,1,0,0,relu,0.0968821331858635,0.138407464325428,0.12911840081214904,0.09776639938354492
64,27,27,256,64,3,3,1,1,1,1,relu,0.0620143998414278,0.07920426651835441,0.06645973175764083,0.08183840140700341
64,27,27,256,64,1,1,1,1,0,0,relu,0.03906880058348179,0.038014933839440344,0.038277866691350936,0.03831040039658547
384,27,27,512,384,1,1,1,1,0,0,relu,0.09783840030431748,0.13706613332033157,0.1296288028359413,0.09844639897346497
512,13,13,64,512,1,1,1,1,0,0,relu,0.09372373297810555,0.09387786760926246,0.09762346744537354,0.10404533445835114
64,13,13,256,64,3,3,1,1,1,1,relu,0.060123201087117197,0.07447573393583298,0.06655466854572296,0.07833760157227516
64,13,13,256,64,1,1,1,1,0,0,relu,0.03782559894025326,0.037464534118771556,0.037692266330122945,0.037489067390561105
512,13,13,1000,512,1,1,1,1,0,0,relu,0.09350560083985329,0.09375359937548637,0.0985178641974926,0.09796746596693992
